what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251514552
error,log,,,"Invalid thread access",1387251533639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1387251551389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251551402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251563638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251567826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251576090
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1387251578557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1387251578557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251578589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251586161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251643941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251656239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251656241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251656264
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Push",1387251714466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251714479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251714852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251722476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251725134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251808067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251811031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251823963
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387251825373
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387251825394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251827611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252032896
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1387252053964
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387252054083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252057477
error,log,,,"Invalid thread access",1387252086688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1387252101507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387252101519
